Item Title,abstract,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Cooperative hybrid consensus with function optimization for blockchain,"We present an experience report on automating the verification of the software barrier synchronization primitive. The informal specification of the primitive is: when a thread calls the software barrier function, the thread halts until all other threads call their instances of the software barrier function. A successful software barrier call ensures that each thread has finished its portion of work before the threads start exchanging the results of these portions of work. While software barriers are widely used in parallel versions of major numerical algorithms and are indispensable in scientific computing, software barrier algorithms and their implementations scarcely have been verified. We improve the state of the art in proving the correctness of the major software barrier algorithms with off-the-shelf automatic verification systems such as Jahob, VCC, Boogie, Spin and Checkfence. We verify a central barrier, a C implementation of a barrier, a static tree barrier, a combining tree barrier, a dissemination barrier, a tournament barrier, a barrier with its client and a barrier on a weak memory model. In the process, we introduce a novel theorem proving method for proving validity of formulas containing cardinalities of comprehensions and improve the capabilities of one of the verification systems. Based on our experience, we propose new challenges in the verification of software barriers.",Cluster Computing,,26.0,6,10.1007/s10586-022-03746-5,Mohammadreza Ipchi SheshgelaniSaeid PashazadehPedram Salehpoor,2023,http://link.springer.com/article/10.1007/s10586-022-03746-5,Article
Proof of bibliometric indicators: a blockchain based consensus protocol for publications,"Research on P2P data structures has tacitly assumed that peers readily participate in the work, i.e., are cooperative. But such participation is voluntary, and free riding is the dominant strategy. This article describes a protocol that renders free riding unattractive, for one particular P2P data structure. The protocol is based on feedback that adjacent nodes exchange. This induces transitive logical networks of nodes that rule out uncooperative peers. The protocol uses proofs of work to deter free riding. To show that cooperative behavior dominates, we have come up with a cost model that quantifies the overall cost of peers, depending on their degree of cooperativeness and many other parameters. The cost model tells us that we can achieve a good discrimination against peers that are less cooperative, with moderate additional cost for cooperative peers. Extensive experiments confirm the validity of our approach.",Multimedia Tools and Applications,,82.0,12,10.1007/s11042-022-14161-8,Parul KhuranaKiran SharmaKiran Khatter,2023,http://link.springer.com/article/10.1007/s11042-022-14161-8,Article
Compress-store on blockchain: a decentralized data processing and immutable storage for multimedia streaming,"In many real-time applications, the set of tasks in the system, as well as the characteristics of the tasks, change during system execution. Specifically, the system moves from one mode of execution to another as its mission progresses. A mode change is characterized by the deletion of some tasks, addition of new tasks, or changes in the parameters of certain tasks, for example, increasing the sampling rate to obtain a more accurate result. This paper discusses how mode changes can be accommodated within a given framework of priority driven real-time scheduling.",Cluster Computing,,25.0,3,10.1007/s10586-022-03584-5,Suayb S. ArslanTurguy Goker,2022,http://link.springer.com/article/10.1007/s10586-022-03584-5,Article
On modeling blockchain-enabled economic networks as stochastic dynamical systems,"The issues surrounding the question of atomicity, both in the past and nowadays, are briefly reviewed, and a picture of an ACID (atomic, consistent, isolated, durable) transaction as a refinement problem is presented. An example of a simple air traffic control system is introduced, and the discrepancies that can arise when read-only operations examine the state at atomic and finegrained levels are handled by retrenchment. Non-ACID timing aspects of the ATC example are also handled by retrenchment, and the treatment is generalised to yield the Retrenchment Atomicity Pattern. The utility of the pattern is confirmed against a number of different case studies. One is the Mondex Electronic Purse, its protocol treated as a conventional atomic transaction. Another is the recovery protocol of Mondex, viewed as a compensated transaction (leading to the view that compensated transactions in general fit the pattern). A final one comprises various unruly phenomena occurring in the implementations of software transactional memory systems, which can frequently display non-ACID behaviour. In all cases the Atomicity Pattern is seen to perform well.",Applied Network Science,,5.0,1,10.1007/s41109-020-0254-9,Zixuan ZhangMichael ZarghamVictor M. Preciado,2020,http://link.springer.com/article/10.1007/s41109-020-0254-9,Article
"SocialFi transforms social media: an overview of key technologies, challenges, and opportunities of the future generation of social media","This paper describes a security architecture for mobile agent based systems. It defines the notion of a security-enhanced agent and outlines security management components in agent platform bases and considers secure migration of agents from one base to another. The security enhanced agent carries a passport that contains its security credentials and some related security code. Then we describe how authentication, integrity and confidentiality, and access control are achieved using the agent's passport and the security infrastructure in the agent bases. We then discuss the application of the security model in roaming mobile agents and consider the types of access control policies that can be specified using the security enhanced agents and the policy base in the agent platforms. Finally we describe the security infrastructure that implements the proposed security services and outline the development of a secure agent based application using the proposed architecture.",Social Network Analysis and Mining,,13.0,1,10.1007/s13278-023-01050-7,Azadeh Imani RadSaeed Banaeian Far,2023,http://link.springer.com/article/10.1007/s13278-023-01050-7,Article
Systematization of knowledge: privacy methods and zero knowledge proofs in corporate blockchains,This paper discusses the considerations that have played a role in the design of the language POOL2. This language integrates the structuring techniques of object-oriented programming with mechanisms for expressing parallelism. We introduce the basic principles of object-oriented programming and its significance for program development methodologies. Several approaches for integrating objects and parallelism are compared and arguments for the choices made in POOL2 are presented. We also explain why inheritance is not yet included in POOL2. A brief overview of the research in formal aspects of POOL is given. Finally we indicate some directions for future developments.,Journal of Computer Virology and Hacking Techniques,,,,10.1007/s11416-023-00470-5,Anatoly KonkinSergey Zapechnikov,2023,http://link.springer.com/article/10.1007/s11416-023-00470-5,Article
Efficient and non-blocking agreement protocols,"Complex variable-structure systems (CVSSs) are a common type of complex systems that exhibit changes both at structural and behavior levels. Simulations of CVSSs challenge current collaborative execution methods with increasingly big and complex models. The emergence of multi-core paradigm presents an exciting opportunity to address such challenge, so an advanced parallel simulator under multi-core environments is proposed. The simulator: (1) provides thread simulation kernels and five kinds of management services to support dynamic model structure flexibly; (2) can explore both inherent and dynamic parallelism among models based on interaction relations, and employ the multi-thread paradigm to gain good speedup; (3) adopts an efficient dynamic load-balancing method, which can migrate models among cores with very low cost and support dynamic core allocation on demand, to address evident load-imbalance problems brought by variable-structure. The experiments show that structure changes can be supported while up to 23 % performance increase can be gained.",Distributed and Parallel Databases,,38.0,2,10.1007/s10619-019-07267-w,Suyash GuptaMohammad Sadoghi,2020,http://link.springer.com/article/10.1007/s10619-019-07267-w,Article
Proof beyond a context-relevant doubt. A structural analysis of the standard of proof in criminal adjudication,"Data centers are major contributors to the emission of carbon dioxide to the atmosphere, and this contribution is expected to increase in the following years. This has encouraged the development of techniques to reduce the energy consumption and the environmental footprint of data centers. Whereas some of these techniques have succeeded to reduce the energy consumption of the hardware equipment of data centers (including IT, cooling, and power supply systems), we claim that sustainable data centers will be only possible if the problem is faced by means of a holistic approach that includes not only the aforementioned techniques but also intelligent and unifying solutions that enable a synergistic and energy-aware management of data centers. In this paper, we propose a comprehensive strategy to reduce the carbon footprint of data centers that uses the energy as a driver of their management procedures. In addition, we present a holistic management architecture for sustainable data centers that implements the aforementioned strategy, and we propose design guidelines to accomplish each step of the proposed strategy, referring to related achievements and enumerating the main challenges that must be still solved.",Artificial Intelligence and Law,,28.0,1,10.1007/s10506-019-09248-x,Kyriakos N. Kotsoglou,2020,http://link.springer.com/article/10.1007/s10506-019-09248-x,Article
Light-Weight Leases for Storage-Centric Coordination,"The past 10 years has seen an explosion of interest for the area of science and technology labelled “nanotechnology.” Although at an early stage, nanotechnology is providing a space for the creation of new alliances and the forging of new ties in many actor arenas, initiated based on promises and high expectations of the fruits that could be harvested from development and investment into nanotechnology. Those trying to characterise the dynamics of emerging ties and networks within this field are faced with a number of complexities which are characteristic of the nanotechnology umbrella term, which covers many technologies, various mixes of disciplines and actors, and ongoing debates about definitions of fields and terminology.",International Journal of Parallel Programming,,34.0,2,10.1007/s10766-006-0008-z,Gregory ChocklerDahlia Malkhi,2006,http://link.springer.com/article/10.1007/s10766-006-0008-z,Article
A Minimal Graphical User Interface for the Jape Proof Calculator,"The Quantified Constraint Satisfaction Problem (QCSP) extends classical CSP in a way which allows reasoning about uncertainty. In this paper I present novel algorithms for solving QCSP. Firstly I present algorithms to perform constraint propagation on reified disjunction constraints of any length. The algorithms make full use of quantifier information to provide a high level of consistency. Secondly I present a scheme to enforce the non-binary pure value rule. This rule is capable of pruning universal variables. Following this, two problems are modelled in non-binary QCSP: the game of Connect 4, and a variant of job-shop scheduling with uncertainty, in the form of machine faults. The job shop scheduling example incorporates probability bounding of scenarios (such that only fault scenarios above a probability threshold are considered) and optimization of the schedule makespan. These contribute to the art of modelling in QCSP, and are a proof of concept for applying QCSP methods to complex, realistic problems. Both models make use of the reified disjunction constraint, and the non-binary pure value rule. The example problems are used to evaluate the QCSP algorithms presented in this paper, identifying strengths and weaknesses, and to compare them to other QCSP approaches.",Formal Aspects of Computing,,11.0,3,10.1007/s001650050050,Richard BornatBernard Sufrin,1999,http://link.springer.com/article/10.1007/s001650050050,Article
