Item Title,abstract,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
DLchain: Blockchain with Deep Learning as Proof-of-Useful-Work,"Blockchains based on Proof-of-Work can maintain a distributed ledger with a high security guarantee but also lead to severe energy waste due to the useless hash calculation. Proof-of-Useful-Work (PoUW) mechanisms are alternatives, but finding hard puzzles with easy verification and useful results is challenging. Recent popular deep learning algorithms require large amount of computation resources due to the large-scale training datasets and the complexity of the models. The work of deep learning training is useful, and the model verification process is much shorter than its training process. Therefore, in this paper, we propose DLchain, a PoUW-based blockchain using deep learning training as the hard puzzle. Theoretical analysis shows that DLchain can achieve a security level comparable to existing PoW-based cryptocurrency when the miners’ best interest is to maximize their revenue. Notably, this is achieved without relying on common assumptions made in existing PoUW-based blockchain such as globally synchronized timestamps. Simulated experiments also show that the extra network delay caused by data transfer and the full nodes’ validation is acceptable.",Services – SERVICES 2020,,,,10.1007/978-3-030-59595-1_4,Changhao ChenliBoyang LiTaeho Jung,2020,http://link.springer.com/chapter/10.1007/978-3-030-59595-1_4,Chapter
Ofelimos: Combinatorial Optimization via Proof-of-Useful-Work,"Minimizing the energy cost and carbon footprint of the Bitcoin blockchain and related protocols is one of the most widely identified open questions in the cryptocurrency space. Substituting the proof-of-work (PoW) primitive in Nakamoto’s longest-chain protocol with a proof of useful work (PoUW) has been long theorized as an ideal solution in many respects but, to this day, the concept still lacks a convincingly secure realization.",Advances in Cryptology – CRYPTO 2022,,,,10.1007/978-3-031-15979-4_12,Matthias FitziAggelos KiayiasGiorgos PanagiotakosAlexander Russell,2022,http://link.springer.com/chapter/10.1007/978-3-031-15979-4_12,Chapter
A Decentralized Data Processing Framework Based on PoUW Blockchain,"Conventional master/slave-based data processing frameworks are vulnerable to single point of failure and performance bottlenecks of the master node. In contrast, blockchain systems adopt a decentralized framework and are capable of aggregating enormous computing resources. In this paper, we propose a blockchain-based data processing framework that utilizes the advantages of the blockchain for solving the drawbacks of the centralized framework. In our framework, the blockchain stores the task information and the adopted proof of useful work consensus enables nodes to process tasks using their computing resources, while competing for the leader (who dispatches pending tasks to the blockchain). Extensive simulations show that the proposed framework is better than the centralized framework in terms of the throughput and the task response time.",Blockchain and Trustworthy Systems,,,,10.1007/978-981-15-9213-3_45,Guangcheng LiQinglin ZhaoXianfeng Li,2020,http://link.springer.com/chapter/10.1007/978-981-15-9213-3_45,Chapter
Provably Secure Blockchain Protocols from Distributed Proof-of-Deep-Learning,"Proof-of-useful-work (PoUW), an alternative to the widely used proof-of-work (PoW), aims to re-purpose the network’s computing power. Namely, users evaluate meaningful computational problems, e.g., solving optimization problems, instead of computing numerous hash function values as in PoW. A recent approach utilizes the training process of deep learning as “useful work”. However, these works lack security analysis when deploying them with blockchain-based protocols, let alone the informal and over-complicated system design. This work proposes a distributed proof-of-deep-learning (D-PoDL) scheme concerning PoUW’s requirements. With a novel hash-traininßg-hash structure and model-referencing mechanism, our scheme is the first deep learning-based PoUW scheme that enables achieving better accuracy distributively. Next, we introduce a transformation from the D-PoDL scheme to a generic D-PoDL blockchain protocol which can be instantiated with two chain selection rules, i.e., the longest-chain rule and the weight-based blockchain framework (LatinCrypt’ 21). This work is the first to provide formal proofs for deep learning-involved blockchain protocols concerning the robust ledger properties, i.e., chain growth, chain quality, and common prefix. Finally, we implement the D-PoDL scheme to discuss the effectiveness of our design.",Network and System Security,,,,10.1007/978-3-031-39828-5_7,Xiangyu SuMario LarangeiraKeisuke Tanaka,2023,http://link.springer.com/chapter/10.1007/978-3-031-39828-5_7,Chapter
A Survey on the Application of SGX in Blockchain Area,"As an emerging technology, blockchain is widely used in encrypted digital currencies and has an important impact in various fields such as finance, cloud storage, and Internet of things (IoT), etc. However, it faces various challenges in the process of its development and application: waste of resources, limited privacy protection, poor scalability, etc. Intel Software Guard Extensions (SGX), as a new trusted computing technology, brings solutions to the above challenges in the blockchain field. Based on the hierarchical structure of the blockchain, we are the first to systematically discuss the application status of SGX in the blockchian, including consensus layer, the ledger topology layer, the contract layer, and the application layer. Meanwhile, we summarize the advantages and challenges of SGX in the field of the blockchain, and look forward to the future development direction and the possible research topics.",Blockchain and Trustworthy Systems,,,,10.1007/978-981-15-9213-3_49,Hong LeiQinghao WangWenbo ShiZijian Bao,2020,http://link.springer.com/chapter/10.1007/978-981-15-9213-3_49,Chapter
Mining for Better: An Energy-Recycling Consensus Algorithm to Enhance Stability with Deep Learning,"As the most popular consensus algorithm for blockchain, the Proof-of-Work (PoW) is suffering from the inability of handling computing power fluctuations. Meanwhile, PoW consumes a significant amount of energy without producing actual value. To address these issues, this paper proposes a deep learning-based consensus framework called Proof-of-Improvement (PoI), which recycles the energy from mining blocks to improve the blockchain itself. In PoI, a new reward mechanism is used to encourage miners to include the high-accuracy model in their blocks. Then, based on PoI, a difficulty adjustment algorithm is designed. Experiments are done on real-world data and the result shows the proposed algorithm’s proficiency in preserving block time stability with fluctuating hash rates. To the best of the authors’ knowledge, PoI is the first to handle both energy recycling and difficulty adjustment concurrently.",Information Security Practice and Experience,,,,10.1007/978-981-99-7032-2_34,Zhen XiaZhenfu CaoJiachen ShenXiaolei DongJun ZhouLiming FangZhe LiuChunpeng GeChunhua Su,2023,http://link.springer.com/chapter/10.1007/978-981-99-7032-2_34,Chapter
P2A: Privacy Preserving Anonymous Authentication Based on Blockchain and SGX,"Modern Identify-as-a-Service solutions solve the problems of burdensome user credential management and non-uniform security strength, by introducing an Identity Provider (IdP) that holds the users’ identities and grants a user one-time access tokens when he/she tries to login to different online applications (known as the Relying Parties, RPs). However, the non-negligible problem of privacy leakage during authentication largely remains unattended. In this paper, we propose a Privacy Preserving Anonymous Authentication Scheme (P2A) with Blockchain and Intel Software Guard Extensions (SGX). The IdP in P2A manages the users’ identities by issuing different kinds of transactions in the Blockchain, covering the registration, update, freeze/thaw, and deletion of identities. When the user wants to login to an RP, instead of asking for an one-time token from the IdP, he can generate an identity proof locally with SGX and login to the RP with an RP-specific pseudonym (PN). By resorting to the Blockchain, the RP will be convinced that the PN is associated with some registered identity on IdP and specific attributes of the user are satisfactory, without obtaining the real identity and raw attributes of the user. In this way, privacy leakages to the IdP and RPs are eliminated. P2A has a few exciting new features and security analysis shows it can resist various attacks even under strict assumptions.",Information Security and Cryptology,,,,10.1007/978-3-030-71852-7_17,Tianlin SongWei WangFan LangWenyi OuyangQiongxiao WangJingqiang Lin,2021,http://link.springer.com/chapter/10.1007/978-3-030-71852-7_17,Chapter
BCSolid: A Blockchain-Based Decentralized Data Storage and Authentication Scheme for Solid,"Solid (Social Linked Data) aims to radically change the way web applications work today, giving users true data ownership and improved privacy. However, it is facing two challenges, one is that data in centralized repositories needs to be separated from social web applications that force users to share their information. In addition, a decentralized authentication that guarantees who can operate on user’s data with a secure privacy protection is another significant issue. In this paper, we address these challenges by proposing a blockchain-based decentralized data storage and authentication scheme for Solid, termed BCSolid, in which a user’s data can be independent of multiple web applications and can switch data storage service easily without relying on a trusted third party. Meanwhile, our scheme gurantees data ownership and user’s privacy by leveraging the blockchain miners to perform authentication with the help of certificateless cryptography. Additionally, we present a possible instantiation to illustrate how “transactions” in BCSolid are processed. To our knowledge this is the first work to promote the Solid project using blockchain. The evaluation results show that our scheme can gurantee a low latency network and is a promising solution to Solid.",Blockchain and Trustworthy Systems,,,,10.1007/978-981-15-2777-7_55,Ting CaiWuhui ChenYang Yu,2020,http://link.springer.com/chapter/10.1007/978-981-15-2777-7_55,Chapter
Analysis of Models for Decentralized and Collaborative AI on Blockchain,"Machine learning has recently enabled large advances in artificial intelligence, but these results can be highly centralized. The large datasets required are generally proprietary; predictions are often sold on a per-query basis; and published models can quickly become out of date without effort to acquire more data and maintain them. Published proposals to provide models and data for free for certain tasks include Microsoft Research’s Decentralized and Collaborative AI on Blockchain. The framework allows participants to collaboratively build a dataset and use smart contracts to share a continuously updated model on a public blockchain. The initial proposal gave an overview of the framework omitting many details of the models used and the incentive mechanisms in real world scenarios. For example, the Self-Assessment incentive mechanism proposed in their work could have problems such as participants losing deposits and the model becoming inaccurate over time if the proper parameters are not set when the framework is configured. In this work, we evaluate the use of several models and configurations in order to propose best practices when using the Self-Assessment incentive mechanism so that models can remain accurate and well-intended participants that submit correct data have the chance to profit. We have analyzed simulations for each of three models: Perceptron, Naïve Bayes, and a Nearest Centroid Classifier, with three different datasets: predicting a sport with user activity from Endomondo, sentiment analysis on movie reviews from IMDB, and determining if a news article is fake. We compare several factors for each dataset when models are hosted in smart contracts on a public blockchain: their accuracy over time, balances of a good and bad user, and transaction costs (or gas) for deploying, updating, collecting refunds, and collecting rewards. A free and open source implementation for the Ethereum blockchain of these models is provided at https://github.com/microsoft/0xDeCA10B.",Blockchain – ICBC 2020,,,,10.1007/978-3-030-59638-5_10,Justin D. Harris,2020,http://link.springer.com/chapter/10.1007/978-3-030-59638-5_10,Chapter
CloudAgora: Democratizing the Cloud,"In this paper we present CloudAgora, a platform that enables the realization of a democratic and fully decentralized cloud computing market where participating parties enjoy significant advantages: On one hand, cloud consumers have access to low-cost storage and computation without having to blindly trust any central authority. On the other hand, any individual or company, big or small, can potentially serve as cloud provider. Idle resources, be it CPU or disk space, are monetized and offered in competitive fees, regulated by the law of supply and demand. In the heart of the platform lies the blockchain technology, which is used to record commitment policies, publicly verify off-chain services and trigger automatic micropayments. Our prototype is built on top of the Ethereum blockchain and is provided as an open source project.",Blockchain – ICBC 2019,,,,10.1007/978-3-030-23404-1_10,Katerina DokaTasos BakogiannisIoannis MytilinisGeorgios Goumas,2019,http://link.springer.com/chapter/10.1007/978-3-030-23404-1_10,Chapter
Proof-of-Blackouts? How Proof-of-Work Cryptocurrencies Could Affect Power Grids,"With respect to power consumption, cryptocurrencies have been discussed in a twofold way: First, the cost-benefit ratio of mining hardware in order to gain revenue from mining that exceeds investment and electricity costs. Second, the overall electric energy consumption of cryptocurrencies to estimate the environmental effects of Proof-of-Work. In this paper, we consider a complementary aspect: The stability of the power grids themselves. Power grids have to continuously maintain an equilibrium between power supply and consumption; extended periods of imbalance cause significant deviation of the utility frequency from its nominal value and destabilize the power grid, eventually leading to large-scale blackouts. Proof-of-Work cryptocurrencies are potential candidates for creating such imbalances as disturbances in mining can cause abrupt changes in power demand. The problem is amplified by the ongoing centralization of mining hardware in large mining pools. Therefore, we investigate power consumption characteristics of miners, consult mining pool data, and analyze the amount of total power consumption as well as its worldwide distribution of two major cryptocurrencies, namely Bitcoin and Ethereum. Thus, answering the question: Are Proof-of-Work based cryptocurrencies a threat to reliable power grid operation?.","Research in Attacks, Intrusions, and Defenses",,,,10.1007/978-3-030-00470-5_9,Johanna UllrichNicholas StifterAljosha JudmayerAdrian DabrowskiEdgar Weippl,2018,http://link.springer.com/chapter/10.1007/978-3-030-00470-5_9,Chapter
Decentralized Combinatorial Optimization,"Combinatorial optimization is a widely-studied class of computational problems with many theoretical and real-world applications. Optimization problems are typically tackled using hardware and software controlled by the user. Optimization can be competitive where problems are solved by competing agents in isolation, or by groups sharing hardware and software in a distributed manner.",Parallel Problem Solving from Nature – PPSN XVI,,,,10.1007/978-3-030-58112-1_25,Lee A. Christie,2020,http://link.springer.com/chapter/10.1007/978-3-030-58112-1_25,Chapter
Decentralization in Bitcoin and Ethereum Networks,"Blockchain-based cryptocurrencies have demonstrated how to securely implement traditionally centralized systems, such as currencies, in a decentralized fashion. However, there have been few measurement studies on the level of decentralization they achieve in practice. We present a measurement study on various decentralization metrics of two of the leading cryptocurrencies with the largest market capitalization and user base, Bitcoin and Ethereum. We investigate the extent of decentralization by measuring the network resources of nodes and the interconnection among them, the protocol requirements affecting the operation of nodes, and the robustness of the two systems against attacks. In particular, we adapted existing internet measurement techniques and used the Falcon Relay Network as a novel measurement tool to obtain our data. We discovered that neither Bitcoin nor Ethereum has strictly better properties than the other. We also provide concrete suggestions for improving both systems.",Financial Cryptography and Data Security,,,,10.1007/978-3-662-58387-6_24,Adem Efe GencerSoumya BasuIttay EyalRobbert van RenesseEmin Gün Sirer,2018,http://link.springer.com/chapter/10.1007/978-3-662-58387-6_24,Chapter
Short Paper: The Proof is in the Pudding,"We propose a proof of work protocol that computes the discrete logarithm of an element in a cyclic group. Individual provers generating proofs of work perform a distributed version of the Pollard rho algorithm. Such a protocol could capture the computational power expended to construct proof-of-work-based blockchains for a more useful purpose, as well as incentivize advances in hardware, software, or algorithms for an important cryptographic problem. We describe our proposed construction and elaborate on challenges and potential trade-offs that arise in designing a practical proof of work.",Financial Cryptography and Data Security,,,,10.1007/978-3-030-32101-7_24,Marcella HastingsNadia HeningerEric Wustrow,2019,http://link.springer.com/chapter/10.1007/978-3-030-32101-7_24,Chapter
Twisting Lattice and Graph Techniques to Compress Transactional Ledgers,"Keeping track of financial transactions (e.g., in banks and blockchains) means keeping track of an ever-increasing list of exchanges between accounts. In fact, many of these transactions can be safely “forgotten”, in the sense that purging a set of them that compensate each other does not impact the network’s semantic meaning (e.g., the accounts’ balances). We call nilcatenation a collection of transactions having no effect on a network’s semantics. Such exchanges may be archived and removed, yielding a smaller, but equivalent ledger. Motivated by the computational and analytic benefits obtained from more compact representations of numerical data, we formalize the problem of finding nilcatenations, and propose detection methods based on graph and lattice-reduction techniques. Atop interesting applications of this work (e.g., decoupling of centralized and distributed databases), we also discuss the original idea of a “community-serving proof of work”: finding nilcatenations constitutes a proof of useful work, as the periodic removal of nilcatenations reduces the transactional graph’s size.",Security and Privacy in Communication Networks,,,,10.1007/978-3-319-78813-5_6,Rémi GéraudDavid NaccacheRăzvan Roşie,2018,http://link.springer.com/chapter/10.1007/978-3-319-78813-5_6,Chapter
A Framework of Data Sharing System with Decentralized Network,"With the development of technology, more and more data have been accumulated. Utilization of data can benefit many applications, such as facilitate human daily life, promote scientific research, and expedite event detection etc. How to share data within a certain group or a specific person securely and effectively has become a hot research topic. Meanwhile, many distributed technologies have appeared with the triggering of many centralized cloud web services. Thus, we propose a block-chain based data sharing framework with IPFS (https://ipfs.io/), Ethereum (https://www.ethereum.org/) and uPort (https://www.uport.me/). As a result of this design, the system could store data in IPFS system and control sensitive data by block-chain, and the authentication can be managed by the uPort ID system. Finally, we evaluate the effectiveness by a case study.",Big Scientific Data Management,,,,10.1007/978-3-030-28061-1_25,Pengfei WangWenjuan CuiJianhui Li,2019,http://link.springer.com/chapter/10.1007/978-3-030-28061-1_25,Chapter
Randomized algorithms for metrical task systems,"Borodin, Linial, and Saks introduce a general model for online systems in [BLS92] called task systems and show a deterministic algorithm which achieves a competitive ratio of 2n−1 for any metrical task system with n states. We present a randomized algorithm which achieves a competitive ratio of e/(e−1)n−1/(e−1)≈1.5820n−0.5820 for any metrical task system of n states. For the uniform metric space, Borodin, Linial, and Saks present an algorithm which achieves a competitive ratio of 2H n, and they show a lower bound of H n for any randomized algorithm. We improve their upper bound for the uniform metric space by showing a randomized algorithm which is (H n/ln2+1≈1.4427H n +1)-competitive.",Algorithms and Data Structures,,,,10.1007/3-540-60220-8_59,Sandy IraniSteve Seiden,1995,http://link.springer.com/chapter/10.1007/3-540-60220-8_59,Chapter
Integrated Power Plant and Bitcoin Mining Economics,"Bitcoin mining can be a difficult process to understand much less model. It is confounded by currency exchange rates and jurisdictional taxes along with rapid historical technological development. We present a framework for simplifying the economic modeling process for bitcoin. To account for historical and potential future technological changes, we model trends in bitcoin miner performance showing that further gains in efficiency have plateaued. Then, we derive the marginal value of bitcoin treating the process of the block reward in a quantum mechanical framework and show that the measure of bitcoin’s value is the energy used to mine it. Finally, we use the energy value of bitcoin to model the dollar price of bitcoin with a power law relationship over bitcoin’s entire price history.",Financial Cryptography and Data Security. FC 2022 International Workshops,,,,10.1007/978-3-031-32415-4_3,Cal Abel,2023,http://link.springer.com/chapter/10.1007/978-3-031-32415-4_3,Chapter
